- banner:
  - text: Ascendancy
  - link "9分钟17秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=557s
    - text: 09:17
  - text: "Progression: Campaign"
  - link "12分钟26秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=746s
    - text: 12:26
  - text: "Progression: Maps"
  - link "14分钟30秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=870s
    - text: 14:30
  - text: "Progression: Aegis Swap"
  - link "19分钟47秒钟":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=1187s
    - text: 19:47
  - text: Mistakes to Avoid Business Email ►palsteron@mythictalent.com Maxroll Builds & Planners ►
  - link "https://maxroll.gg/@palsteron":
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rVHFaT0g2TVZ3c1pVUFlMNlNCUFBkRHxBR3JiS2FuU1RmMUs1UUpjVHNWQ2xJQ2hER0RYb3RUbm15UUhJc3lJNDgwUnJQVEFUdlVEcWF6N1lGckhSR0FIbFl6QWl3ZXBFWE1rQzVrX0lWY1pFQVFTeGRwMkJkUFhfYld2&q=https%3A%2F%2Fmaxroll.gg%2F%40palsteron&v=_oBZ-N5Fg9Y
  - text: Join my Discord ►
  - 'link "Discord Channel Link: discord"':
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rUnZWNVVsTk5PazdHMmN4a1hQbFliZXxBR3JiS2FsdElLcGtacUpBbXI2NHlxaHBROWlKZHNxRlFJc0pkZ19zWkQ5Z1Z6SmJzS2RUNUx0cGhjZVBUbUc5d2NRRHpMRzBOMmhYRlpvZThwa292VFlkNUFVSGd5UlhFOTlQ&q=https%3A%2F%2Fdiscord.gg%2FCb2dB7majD&v=_oBZ-N5Fg9Y
    - text: / discord
  - text: Follow me on Twitter ►
  - 'link "Twitter Channel Link: palsteron"':
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rUUMxSUpMZkU0VV96QmljY01zVWdvLXxBR3JiS2FrXzJGRm1sSzJtZ1BjSlktUF9Hcm45M0ItNTBzSzM4SVQ2allqcS1sVnJ2RHFwOUpxb1h4T3VWNnVQbDdfcEJ6SzVQVXMwZ1V5eVVtOV80bHgwMFE4VFp4cFV5QzNR&q=https%3A%2F%2Ftwitter.com%2Fpalsteron&v=_oBZ-N5Fg9Y
    - text: / palsteron
  - text: PoE Profile ►
  - link "https://www.pathofexile.com/account/v...":
    - /url: https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rVG4xSXY5RFNxRjNYLWltXzBGdlJ4R3xBR3JiS2FrQW4xS0NINll4NHNIajZZdjlpTF9ySk5nbWduM3l2UnhOZE40b29XTVJvUnRaSFBOTm1HWTdMWTQ2TDhqNVgzOU5jUjhiOGVfaHhwTmNmM2tocENjbWY3S0toYzhX&q=https%3A%2F%2Fwww.pathofexile.com%2Faccount%2Fview-profile%2FPalsteron-4374&v=_oBZ-N5Fg9Y
  - button "Palsteron explores the mechanics and progression of a Kinetic Fusillade Ballista build for the latest game update. The guide details how to optimize attack speed and duration, effectively utilize specific unique items, and manage skill synergies for early and late-game success."
  - text: ·
  - generic: 摘要
  - button "更多":
  - heading "提问" [level=2]
  - generic: 获得解答、探索主题及更多内容
  - button "提问":
    - generic: 提问
  - heading "章节 查看全部" [level=2]:
    - generic: 章节
    - button "查看全部":
      - generic: 查看全部
  - link "Kinetic Fusillade Still Strong 0:00":
    - /url: /watch?v=_oBZ-N5Fg9Y
    - heading "Kinetic Fusillade Still Strong" [level=3]
    - generic: 0:00
  - link "Changes After this Patch 1:11":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=71s
    - heading "Changes After this Patch" [level=3]
    - generic: 1:11
  - link "Kinetic Fusillade Mechanics 3:50":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=230s&pp=0gcJCRkDDuyUWbzu
    - heading "Kinetic Fusillade Mechanics" [level=3]
    - generic: 3:50
  - link "Why Totems? 5:46":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=346s
    - heading "Why Totems?" [level=3]
    - generic: 5:46
  - link "Damage Scaling 6:18":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=378s
    - heading "Damage Scaling" [level=3]
    - generic: 6:18
  - link "Defenses 7:07":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=427s
    - heading "Defenses" [level=3]
    - generic: 7:07
  - link "Ascendancy 7:39":
    - /url: /watch?v=_oBZ-N5Fg9Y&t=459s
    - heading "Ascendancy" [level=3]
    - generic: 7:39
  - 'link "Progression: Campaign 9:17"':
    - /url: /watch?v=_oBZ-N5Fg9Y&t=557s
    - 'heading "Progression: Campaign" [level=3]'
    - generic: 9:17
  - heading "游戏" [level=3]
  - group "流放之路":
    - link "流放之路 2013":
      - heading "流放之路" [level=1]
      - heading "2013" [level=4]
  - link "游戏":
    - /url: /gaming
    - generic: 游戏
  - generic: 转写文稿
  - paragraph: 通过文字转写了解视频内容。
  - button "内容转文字":
    - generic: 内容转文字
  - link "Palsteron 11.1万位订阅者":
    - /url: /@Palsteron
    - heading "Palsteron" [level=3]
    - generic: 11.1万位订阅者
  - link "视频":
    - /url: /channel/UCXp5YOW329ysRDl_LK9P1_g/videos
    - generic: 视频
  - link "简介":
    - /url: /channel/UCXp5YOW329ysRDl_LK9P1_g/about
    - generic: 简介
  - link:
    - /url: /watch?v=7n0fMQ4NPlA
    - generic: 10:23
  - link "What the Kinetic Fusillade Change ACTUALLY Means | Path of Exile Patch 3.29 来自Palsteron":
    - /url: /watch?v=7n0fMQ4NPlA
    - generic: What the Kinetic Fusillade Change ACTUALLY Means | Path of Exile Patch 3.29
    - generic: 来自Palsteron
  - button "收起"
  - text: • ·
  - heading "129 条评论" [level=2]:
    - generic: 129 条评论
  - tooltip "tooltip"
  - button "评论排序":
    - generic: 排序方式
  - img "aresxu"
  - textbox
  - button "@dreamcore_gg"
  - heading "@dreamcore_gg" [level=3]:
    - link "@dreamcore_gg":
      - /url: /@dreamcore_gg
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgwnIcfYHg8Tm2_3x2l4AaABAg
  - generic: he can't keep getting away with it
  - button "赞此评论，已有 114 人赞过":
  - tooltip "tooltip"
  - generic: "114"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "加红心" [disabled]:
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "2 条回复":
    - generic: 2 条回复
  - button "@jeanvaljean-gn5ej"
  - heading "@jeanvaljean-gn5ej" [level=3]:
    - link "@jeanvaljean-gn5ej":
      - /url: /@jeanvaljean-gn5ej
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugzu6dwCDNVLyrIb4vd4AaABAg&pp=0gcJCSIANpG00pGi
  - generic: "GGG: we buffed over 100 skills, Palsteron: fuck it i'm gonna do it again"
  - button "赞此评论，已有 58 人赞过":
  - tooltip "tooltip"
  - generic: "58"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "1 条回复":
    - generic: 1 条回复
  - button "@theo008"
  - heading "@theo008" [level=3]:
    - link "@theo008":
      - /url: /@theo008
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgzaofUMbKul05sYvjp4AaABAg
  - generic: When the world needed him most, he showed up. Thank you!
  - button "赞此评论，已有 11 人赞过":
  - tooltip "tooltip"
  - generic: "11"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@MisterBisco"
  - heading "@MisterBisco" [level=3]:
    - link "@MisterBisco":
      - /url: /@MisterBisco
  - link "21小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgxSdwc6cEa8xmkCQcZ4AaABAg
  - generic: Can't wait to blast this all the way to 40/40 again!
  - button "赞此评论，已有 13 人赞过":
  - tooltip "tooltip"
  - generic: "13"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@andrefrauenknecht8190"
  - heading "@andrefrauenknecht8190" [level=3]:
    - link "@andrefrauenknecht8190":
      - /url: /@andrefrauenknecht8190
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgwdvkThk4riEnJOTAd4AaABAg
  - generic: Been waiting - love your work Pal! This league looking fwd see what your second build is!
  - button "赞此评论，已有 6 人赞过":
  - tooltip "tooltip"
  - generic: "6"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@SolarPatrol"
  - heading "@SolarPatrol" [level=3]:
    - link "@SolarPatrol":
      - /url: /@SolarPatrol
  - link "18小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgyKqP07pefDvKtvBRZ4AaABAg
  - generic: Yes! So glad you made another kf totems guide! I wanted to play this again even with the nerfs glad you figured out all the details I'm definitely playing this again it was so much fun last league!
  - button "赞此评论，已有 2 人赞过":
  - tooltip "tooltip"
  - generic: "2"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@erickjordan4812"
  - heading "@erickjordan4812" [level=3]:
    - link "@erickjordan4812":
      - /url: /@erickjordan4812
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugy0KtvWD4mBhZ9g-Ud4AaABAg
  - generic: "\"Ohhh sh*t, here we go again\" vibes"
  - button "赞此评论，已有 3 人赞过":
  - tooltip "tooltip"
  - generic: "3"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@andiwolf3334"
  - heading "@andiwolf3334" [level=3]:
    - link "@andiwolf3334":
      - /url: /@andiwolf3334
  - link "19小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgyBUhKoFFQpBKBAIsZ4AaABAg&pp=0gcJCSIANpG00pGi
  - generic: missed this gem of a build last league, gonna be my starter this time at least :)
  - button "赞此评论，已有 2 人赞过":
  - tooltip "tooltip"
  - generic: "2"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@bartes671"
  - heading "@bartes671" [level=3]:
    - link "@bartes671":
      - /url: /@bartes671
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugy6ltFTW1O4vZuQwtt4AaABAg
  - generic: Great like usual pal1Hypers
  - button "赞此评论，已有 3 人赞过":
  - tooltip "tooltip"
  - generic: "3"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@Oezeo"
  - heading "@Oezeo" [level=3]:
    - link "@Oezeo":
      - /url: /@Oezeo
  - link "14小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugwyuw240hrAZACtlmN4AaABAg
  - generic: I wasn't planning on going KF totems again but you're talking me into it
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@Velarieth"
  - heading "@Velarieth" [level=3]:
    - link "@Velarieth":
      - /url: /@Velarieth
  - link "17小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgxNuR9I4nkOlA_a7mZ4AaABAg
  - generic: This build was a blast (ha) last league. I'm so glad we can still play it.
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@toyspeed9663"
  - heading "@toyspeed9663" [level=3]:
    - link "@toyspeed9663":
      - /url: /@toyspeed9663
  - link "21小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgxMwZH49XGt6SKqOz14AaABAg
  - generic: Totem man start totem build pog
  - button "赞此评论，已有 3 人赞过":
  - tooltip "tooltip"
  - generic: "3"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@martinglendrange996"
  - heading "@martinglendrange996" [level=3]:
    - link "@martinglendrange996":
      - /url: /@martinglendrange996
  - link "21小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugw7SezkUsNyrcdbgpV4AaABAg
  - generic: Banger
  - button "赞此评论，已有 4 人赞过":
  - tooltip "tooltip"
  - generic: "4"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@shadow81_"
  - heading "@shadow81_" [level=3]:
    - link "@shadow81_":
      - /url: /@shadow81_
  - link "21小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugz0Ue6QT8RFJcUsF994AaABAg
  - generic: Pog totem build from totem man!!
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@Finntroll1991"
  - heading "@Finntroll1991" [level=3]:
    - link "@Finntroll1991":
      - /url: /@Finntroll1991
  - link "12小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugy_cRtpDAFiezmhraV4AaABAg&pp=0gcJCSIANpG00pGi
  - generic: I played your build last league, was from far the easiest build to play league starter. Ty for the content
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@fede081178"
  - heading "@fede081178" [level=3]:
    - link "@fede081178":
      - /url: /@fede081178
  - link "16小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgyhLZkxNjNHoDcF6a14AaABAg
  - generic: I was skeptical because of the nerfs. Now i think i will league start this (again). Thanks Pal
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@dudeglove"
  - heading "@dudeglove" [level=3]:
    - link "@dudeglove":
      - /url: /@dudeglove
  - link "20小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=Ugxp7DunwZTXxWrofZd4AaABAg
  - generic: congrats on another totem build
  - button "赞此评论，已有 24 人赞过":
  - tooltip "tooltip"
  - generic: "24"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@Geeezass"
  - heading "@Geeezass" [level=3]:
    - link "@Geeezass":
      - /url: /@Geeezass
  - link "19小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgwL6OppLAAaEcEofzJ4AaABAg
  - generic: There is a new reservation cluster also it’s a mana efficiency cluster , check it out. Now you have 2 of those nearby
  - button "赞此评论，已有 1 人赞过":
  - tooltip "tooltip"
  - generic: "1"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@Olsen5000"
  - heading "@Olsen5000" [level=3]:
    - link "@Olsen5000":
      - /url: /@Olsen5000
  - link "10小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgwpbOxtN2N0tsvwpg14AaABAg
  - generic: uhh Houston, we have an 'increases and reductions to spell damage' problem
  - button "赞此评论，已有 1 人赞过":
  - tooltip "tooltip"
  - generic: "1"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - button "@FlossedUp"
  - heading "@FlossedUp" [level=3]:
    - link "@FlossedUp":
      - /url: /@FlossedUp
  - link "13小时前":
    - /url: /watch?v=_oBZ-N5Fg9Y&lc=UgzzLYPEteIZ3ouLQyl4AaABAg
  - generic: It's so tempting to this again for League starter. 3.28 League start was a breeze with this. Idk what to do at this point lmao
  - button "赞此评论，已有 0 人赞过":
  - tooltip "tooltip"
  - button "不喜欢此评论":
  - tooltip "tooltip"
  - button "回复":
    - generic: 回复
  - button "操作菜单":
  - heading "在此视频中" [active] [level=2]:
    - generic "在此视频中"
  - button "关闭":
  - tablist:
    - tab "章节":
      - generic: 章节
    - tab "转写文稿" [selected]:
      - generic: 转写文稿
  - generic: 搜索转写内容
  - textbox "搜索转写内容"
  - button "第 1 章：Kinetic Fusillade Still Strong":
    - heading "第 1 章：Kinetic Fusillade Still Strong" [level=3]
  - button "2秒钟 Hey guys, Pron here and today let's talk about my update for the kinetic fuselot hero ballista. Now unfortunately I haven't really seen anything interesting":
    - generic: 0:02
    - generic: 2秒钟
    - text: Hey guys, Pron here and today let's talk about my update for the kinetic fuselot hero ballista. Now unfortunately I haven't really seen anything interesting
  - button "10秒钟 in the patch that catch my eye. So I'm going to play kinetic fuselot ballista again for early game. If you don't know this is an extremely strong early game":
    - generic: 0:10
    - generic: 10秒钟
    - text: in the patch that catch my eye. So I'm going to play kinetic fuselot ballista again for early game. If you don't know this is an extremely strong early game
  - button "17秒钟 build that can carry you to four stones on relatively low currency. It did get some changes this patch though but it is still quite strong. We use kinetic fuse":
    - generic: 0:17
    - generic: 17秒钟
    - text: build that can carry you to four stones on relatively low currency. It did get some changes this patch though but it is still quite strong. We use kinetic fuse
  - button "25秒钟 a lot which is a wand skill that fires projectiles that then explode on enemies and you kind of charge it up and it gets more and more projectiles and the more":
    - generic: 0:25
    - generic: 25秒钟
    - text: a lot which is a wand skill that fires projectiles that then explode on enemies and you kind of charge it up and it gets more and more projectiles and the more
  - button "33秒钟 projectiles are in the sequence the more damage you deal and on ballistas it's just an extremely comfy play style. In this video I'll outline everything that changed for the build for people already":
    - generic: 0:33
    - generic: 33秒钟
    - text: projectiles are in the sequence the more damage you deal and on ballistas it's just an extremely comfy play style. In this video I'll outline everything that changed for the build for people already
  - button "41秒钟 played the build and I will also explain how it works plus the progression. Do note though that you currently cannot do a run of this build with the current":
    - generic: 0:41
    - generic: 41秒钟
    - text: played the build and I will also explain how it works plus the progression. Do note though that you currently cannot do a run of this build with the current
  - button "48秒钟 setup that I'm planning because the skill will change fundamentally in terms of how its duration and how its attack speed works. Now, on to league start, I will be updating everything necessary":
    - generic: 0:48
    - generic: 48秒钟
    - text: setup that I'm planning because the skill will change fundamentally in terms of how its duration and how its attack speed works. Now, on to league start, I will be updating everything necessary
  - button "57秒钟 right here. The POB as always has loadouts right here if you'd like to work through PoB. Otherwise, I have the written max guide which will be updated and I will also have a build document":
    - generic: 0:57
    - generic: 57秒钟
    - text: right here. The POB as always has loadouts right here if you'd like to work through PoB. Otherwise, I have the written max guide which will be updated and I will also have a build document
  - button "1分钟5秒钟 where I just put in different snapshots of how I did uh throughout progression.":
    - generic: 1:05
    - generic: 1分钟5秒钟
